Run,City,System,FailureTime
5,San Diego,Emergency Services,22
5,San Diego,Media,11
5,San Diego,Government Portals,14
5,Dallas,Power Grid AI,0
5,Dallas,Internet Backbone AI,2
5,Dallas,Data Centers,6
5,Dallas,Hospitals,5
5,Dallas,Finance,9
5,Dallas,Logistics,10
5,Dallas,Emergency Services,17
5,Dallas,Media,16
5,Dallas,Government Portals,8
5,San Jose,Power Grid AI,8
5,San Jose,Internet Backbone AI,6
5,San Jose,Data Centers,16
5,San Jose,Hospitals,15
5,San Jose,Finance,13
5,San Jose,Logistics,14
5,San Jose,Emergency Services,23
5,San Jose,Media,15
5,San Jose,Government Portals,15
6,New York,Power Grid AI,7
6,New York,Internet Backbone AI,12
6,New York,Data Centers,20
6,New York,Hospitals,18
6,New York,Finance,17
6,New York,Logistics,9
6,New York,Emergency Services,26
6,New York,Media,14
6,New York,Government Portals,17
6,Los Angeles,Power Grid AI,10
6,Los Angeles,Internet Backbone AI,10
6,Los Angeles,Data Centers,13
6,Los Angeles,Hospitals,24
6,Los Angeles,Finance,14
6,Los Angeles,Logistics,19
6,Los Angeles,Emergency Services,35
6,Los Angeles,Media,14
6,Los Angeles,Government Portals,16
6,Chicago,Power Grid AI,3
6,Chicago,Internet Backbone AI,7
6,Chicago,Data Centers,13
6,Chicago,Hospitals,16
6,Chicago,Finance,13
6,Chicago,Logistics,6
6,Chicago,Emergency Services,31
6,Chicago,Media,20
6,Chicago,Government Portals,15
6,Houston,Power Grid AI,7
6,Houston,Internet Backbone AI,11
6,Houston,Data Centers,15
6,Houston,Hospitals,15
6,Houston,Finance,15
6,Houston,Logistics,16
6,Houston,Emergency Services,27
6,Houston,Media,24
6,Houston,Government Portals,19
6,Phoenix,Power Grid AI,6
6,Phoenix,Internet Backbone AI,9
6,Phoenix,Data Centers,9
6,Phoenix,Hospitals,19
6,Phoenix,Finance,12
6,Phoenix,Logistics,14
6,Phoenix,Emergency Services,34
6,Phoenix,Media,14
6,Phoenix,Government Portals,12
6,Philadelphia,Power Grid AI,0
6,Philadelphia,Internet Backbone AI,11
6,Philadelphia,Data Centers,12
6,Philadelphia,Hospitals,2
6,Philadelphia,Finance,17
6,Philadelphia,Logistics,9
6,Philadelphia,Emergency Services,5
6,Philadelphia,Media,16
6,Philadelphia,Government Portals,14
6,San Antonio,Power Grid AI,5
6,San Antonio,Internet Backbone AI,11
6,San Antonio,Data Centers,15
6,San Antonio,Hospitals,14
6,San Antonio,Finance,14
6,San Antonio,Logistics,9
6,San Antonio,Emergency Services,17
6,San Antonio,Media,19
6,San Antonio,Government Portals,16
6,San Diego,Power Grid AI,5
6,San Diego,Internet Backbone AI,13
6,San Diego,Data Centers,7
6,San Diego,Hospitals,8
6,San Diego,Finance,15
6,San Diego,Logistics,19
6,San Diego,Emergency Services,15
6,San Diego,Media,17
6,San Diego,Government Portals,15
6,Dallas,Power Grid AI,9
6,Dallas,Internet Backbone AI,14
6,Dallas,Data Centers,11
6,Dallas,Hospitals,23
6,Dallas,Finance,13
6,Dallas,Logistics,18
6,Dallas,Emergency Services,34
6,Dallas,Media,19
6,Dallas,Government Portals,18
6,San Jose,Power Grid AI,8
6,San Jose,Internet Backbone AI,11
6,San Jose,Data Centers,12
6,San Jose,Hospitals,10
6,San Jose,Finance,13
6,San Jose,Logistics,12
6,San Jose,Emergency Services,14
6,San Jose,Media,14
6,San Jose,Government Portals,16
7,New York,Power Grid AI,9
7,New York,Internet Backbone AI,9
7,New York,Data Centers,18
7,New York,Hospitals,13
7,New York,Finance,13
7,New York,Logistics,20
7,New York,Emergency Services,17
7,New York,Media,14
7,New York,Government Portals,18
7,Los Angeles,Power Grid AI,3
7,Los Angeles,Internet Backbone AI,10
7,Los Angeles,Data Centers,13
7,Los Angeles,Hospitals,7
7,Los Angeles,Finance,14
7,Los Angeles,Logistics,6
7,Los Angeles,Emergency Services,16
7,Los Angeles,Media,17
7,Los Angeles,Government Portals,12
7,Chicago,Power Grid AI,7
7,Chicago,Internet Backbone AI,12
7,Chicago,Data Centers,9
7,Chicago,Hospitals,11
7,Chicago,Finance,15
7,Chicago,Logistics,18
7,Chicago,Emergency Services,24
7,Chicago,Media,12
7,Chicago,Government Portals,14
7,Houston,Power Grid AI,9
7,Houston,Internet Backbone AI,10
7,Houston,Data Centers,11
7,Houston,Hospitals,12
7,Houston,Finance,13
7,Houston,Logistics,16
7,Houston,Emergency Services,27
7,Houston,Media,14
7,Houston,Government Portals,21
7,Phoenix,Power Grid AI,6
7,Phoenix,Internet Backbone AI,9
7,Phoenix,Data Centers,10
7,Phoenix,Hospitals,10
7,Phoenix,Finance,15
7,Phoenix,Logistics,11
7,Phoenix,Emergency Services,17
7,Phoenix,Media,11
7,Phoenix,Government Portals,15
7,Philadelphia,Power Grid AI,9
7,Philadelphia,Internet Backbone AI,10
7,Philadelphia,Data Centers,11
7,Philadelphia,Hospitals,14
7,Philadelphia,Finance,14
7,Philadelphia,Logistics,14
7,Philadelphia,Emergency Services,24
7,Philadelphia,Media,16
7,Philadelphia,Government Portals,14
7,San Antonio,Power Grid AI,5
7,San Antonio,Internet Backbone AI,13
7,San Antonio,Data Centers,12
7,San Antonio,Hospitals,11
7,San Antonio,Finance,15
7,San Antonio,Logistics,11
7,San Antonio,Emergency Services,18
7,San Antonio,Media,17
7,San Antonio,Government Portals,17
7,San Diego,Power Grid AI,0
7,San Diego,Internet Backbone AI,10
7,San Diego,Data Centers,7
7,San Diego,Hospitals,4
7,San Diego,Finance,11
7,San Diego,Logistics,3
7,San Diego,Emergency Services,11
7,San Diego,Media,15
7,San Diego,Government Portals,20
7,Dallas,Power Grid AI,3
7,Dallas,Internet Backbone AI,6
7,Dallas,Data Centers,14
7,Dallas,Hospitals,9
7,Dallas,Finance,12
7,Dallas,Logistics,16
7,Dallas,Emergency Services,20
7,Dallas,Media,16
7,Dallas,Government Portals,12
7,San Jose,Power Grid AI,6
7,San Jose,Internet Backbone AI,8
7,San Jose,Data Centers,8
7,San Jose,Hospitals,11
7,San Jose,Finance,13
7,San Jose,Logistics,16
7,San Jose,Emergency Services,21
7,San Jose,Media,11
7,San Jose,Government Portals,12
8,New York,Power Grid AI,6
8,New York,Internet Backbone AI,12
8,New York,Data Centers,19
8,New York,Hospitals,15
8,New York,Finance,12
8,New York,Logistics,15
8,New York,Emergency Services,22
8,New York,Media,23
8,New York,Government Portals,23
8,Los Angeles,Power Grid AI,2
8,Los Angeles,Internet Backbone AI,11
8,Los Angeles,Data Centers,5
8,Los Angeles,Hospitals,7
8,Los Angeles,Finance,9
8,Los Angeles,Logistics,9
8,Los Angeles,Emergency Services,16
8,Los Angeles,Media,8
8,Los Angeles,Government Portals,17
8,Chicago,Power Grid AI,6
8,Chicago,Internet Backbone AI,13
8,Chicago,Data Centers,11
8,Chicago,Hospitals,14
8,Chicago,Finance,12
8,Chicago,Logistics,15
8,Chicago,Emergency Services,27
8,Chicago,Media,20
8,Chicago,Government Portals,27
8,Houston,Power Grid AI,11
8,Houston,Internet Backbone AI,12
8,Houston,Data Centers,17
8,Houston,Hospitals,17
8,Houston,Finance,13
8,Houston,Logistics,14
8,Houston,Emergency Services,23
8,Houston,Media,19
8,Houston,Government Portals,26
8,Phoenix,Power Grid AI,4
8,Phoenix,Internet Backbone AI,7
8,Phoenix,Data Centers,12
8,Phoenix,Hospitals,11
8,Phoenix,Finance,9
8,Phoenix,Logistics,9
8,Phoenix,Emergency Services,14
8,Phoenix,Media,10
8,Phoenix,Government Portals,12
8,Philadelphia,Power Grid AI,0
8,Philadelphia,Internet Backbone AI,8
8,Philadelphia,Data Centers,9
8,Philadelphia,Hospitals,3
8,Philadelphia,Finance,14
8,Philadelphia,Logistics,13
8,Philadelphia,Emergency Services,11
8,Philadelphia,Media,18
8,Philadelphia,Government Portals,20
8,San Antonio,Power Grid AI,5
8,San Antonio,Internet Backbone AI,10
8,San Antonio,Data Centers,13
8,San Antonio,Hospitals,7
8,San Antonio,Finance,11
8,San Antonio,Logistics,10
8,San Antonio,Emergency Services,21
8,San Antonio,Media,17
8,San Antonio,Government Portals,12
8,San Diego,Power Grid AI,4
8,San Diego,Internet Backbone AI,9
8,San Diego,Data Centers,14
8,San Diego,Hospitals,10
8,San Diego,Finance,12
8,San Diego,Logistics,8
8,San Diego,Emergency Services,25
8,San Diego,Media,15
8,San Diego,Government Portals,11
8,Dallas,Power Grid AI,8
8,Dallas,Internet Backbone AI,12
8,Dallas,Data Centers,16
8,Dallas,Hospitals,19
8,Dallas,Finance,13
8,Dallas,Logistics,17
8,Dallas,Emergency Services,31
8,Dallas,Media,18
8,Dallas,Government Portals,23
8,San Jose,Power Grid AI,7
8,San Jose,Internet Backbone AI,10
8,San Jose,Data Centers,13
8,San Jose,Hospitals,11
8,San Jose,Finance,12
8,San Jose,Logistics,17
8,San Jose,Emergency Services,14
8,San Jose,Media,12
8,San Jose,Government Portals,13
9,New York,Power Grid AI,8
9,New York,Internet Backbone AI,16
9,New York,Data Centers,17
9,New York,Hospitals,23
9,New York,Finance,18
9,New York,Logistics,12
9,New York,Emergency Services,28
9,New York,Media,19
9,New York,Government Portals,20
9,Los Angeles,Power Grid AI,13
9,Los Angeles,Internet Backbone AI,14
9,Los Angeles,Data Centers,18
9,Los Angeles,Hospitals,23
9,Los Angeles,Finance,20
9,Los Angeles,Logistics,22
9,Los Angeles,Emergency Services,38
9,Los Angeles,Media,16
9,Los Angeles,Government Portals,22
9,Chicago,Power Grid AI,9
9,Chicago,Internet Backbone AI,14
9,Chicago,Data Centers,17
9,Chicago,Hospitals,11
9,Chicago,Finance,20
9,Chicago,Logistics,22
9,Chicago,Emergency Services,22
9,Chicago,Media,23
9,Chicago,Government Portals,17
9,Houston,Power Grid AI,0
9,Houston,Internet Backbone AI,11
9,Houston,Data Centers,7
9,Houston,Hospitals,3
9,Houston,Finance,14
9,Houston,Logistics,7
9,Houston,Emergency Services,18
9,Houston,Media,9
9,Houston,Government Portals,21
9,Phoenix,Power Grid AI,9
9,Phoenix,Internet Backbone AI,15
9,Phoenix,Data Centers,21
9,Phoenix,Hospitals,20
9,Phoenix,Finance,17
9,Phoenix,Logistics,16
9,Phoenix,Emergency Services,29
9,Phoenix,Media,18
9,Phoenix,Government Portals,20
9,Philadelphia,Power Grid AI,12
9,Philadelphia,Internet Backbone AI,15
9,Philadelphia,Data Centers,18
9,Philadelphia,Hospitals,14
9,Philadelphia,Finance,19
9,Philadelphia,Logistics,22
9,Philadelphia,Emergency Services,26
9,Philadelphia,Media,20
9,Philadelphia,Government Portals,18
9,San Antonio,Power Grid AI,11
9,San Antonio,Internet Backbone AI,16
9,San Antonio,Data Centers,21
9,San Antonio,Hospitals,26
9,San Antonio,Finance,18
9,San Antonio,Logistics,22
9,San Antonio,Emergency Services,30
9,San Antonio,Media,18
9,San Antonio,Government Portals,18
9,San Diego,Power Grid AI,8
9,San Diego,Internet Backbone AI,16
9,San Diego,Data Centers,20
9,San Diego,Hospitals,13
9,San Diego,Finance,22
9,San Diego,Logistics,17
9,San Diego,Emergency Services,28
9,San Diego,Media,24
9,San Diego,Government Portals,21
9,Dallas,Power Grid AI,9
9,Dallas,Internet Backbone AI,11
9,Dallas,Data Centers,14
9,Dallas,Hospitals,19
9,Dallas,Finance,18
9,Dallas,Logistics,12
9,Dallas,Emergency Services,33
9,Dallas,Media,19
9,Dallas,Government Portals,13
9,San Jose,Power Grid AI,13
9,San Jose,Internet Backbone AI,17
9,San Jose,Data Centers,17
9,San Jose,Hospitals,20
9,San Jose,Finance,19
9,San Jose,Logistics,18
9,San Jose,Emergency Services,35
9,San Jose,Media,19
9,San Jose,Government Portals,32
10,New York,Power Grid AI,10
10,New York,Internet Backbone AI,12
10,New York,Data Centers,14
10,New York,Hospitals,17
10,New York,Finance,12
10,New York,Logistics,12
10,New York,Emergency Services,22
10,New York,Media,18
10,New York,Government Portals,22
10,Los Angeles,Power Grid AI,4
10,Los Angeles,Internet Backbone AI,14
10,Los Angeles,Data Centers,12
10,Los Angeles,Hospitals,7
10,Los Angeles,Finance,13
10,Los Angeles,Logistics,9
10,Los Angeles,Emergency Services,16
10,Los Angeles,Media,16
10,Los Angeles,Government Portals,24
10,Chicago,Power Grid AI,7
10,Chicago,Internet Backbone AI,11
10,Chicago,Data Centers,19
10,Chicago,Hospitals,17
10,Chicago,Finance,12
10,Chicago,Logistics,14
10,Chicago,Emergency Services,27
10,Chicago,Media,18
10,Chicago,Government Portals,14
10,Houston,Power Grid AI,2
10,Houston,Internet Backbone AI,8
10,Houston,Data Centers,5
10,Houston,Hospitals,14
10,Houston,Finance,10
10,Houston,Logistics,4
10,Houston,Emergency Services,18
10,Houston,Media,14
10,Houston,Government Portals,18
10,Phoenix,Power Grid AI,9
10,Phoenix,Internet Backbone AI,13
10,Phoenix,Data Centers,12
10,Phoenix,Hospitals,12
10,Phoenix,Finance,14
10,Phoenix,Logistics,16
10,Phoenix,Emergency Services,22
10,Phoenix,Media,14
10,Phoenix,Government Portals,17
10,Philadelphia,Power Grid AI,0
10,Philadelphia,Internet Backbone AI,10
10,Philadelphia,Data Centers,9
10,Philadelphia,Hospitals,6
10,Philadelphia,Finance,12
10,Philadelphia,Logistics,2
10,Philadelphia,Emergency Services,21
10,Philadelphia,Media,23
10,Philadelphia,Government Portals,19
10,San Antonio,Power Grid AI,5
10,San Antonio,Internet Backbone AI,9
10,San Antonio,Data Centers,7
10,San Antonio,Hospitals,8
10,San Antonio,Finance,13
10,San Antonio,Logistics,10
10,San Antonio,Emergency Services,10
10,San Antonio,Media,15
10,San Antonio,Government Portals,15
10,San Diego,Power Grid AI,4
10,San Diego,Internet Backbone AI,11
10,San Diego,Data Centers,12
10,San Diego,Hospitals,9
10,San Diego,Finance,14
10,San Diego,Logistics,16
10,San Diego,Emergency Services,16
10,San Diego,Media,13
10,San Diego,Government Portals,19
10,Dallas,Power Grid AI,6
10,Dallas,Internet Backbone AI,12
10,Dallas,Data Centers,14
10,Dallas,Hospitals,8
10,Dallas,Finance,14
10,Dallas,Logistics,11
10,Dallas,Emergency Services,14
10,Dallas,Media,18
10,Dallas,Government Portals,17
10,San Jose,Power Grid AI,4
10,San Jose,Internet Backbone AI,11
10,San Jose,Data Centers,14
10,San Jose,Hospitals,7
10,San Jose,Finance,16
10,San Jose,Logistics,6
10,San Jose,Emergency Services,18
10,San Jose,Media,13
10,San Jose,Government Portals,15
11,New York,Power Grid AI,0
11,New York,Internet Backbone AI,11
11,New York,Data Centers,8
11,New York,Hospitals,3
11,New York,Finance,16
